target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,neutral,1,j,l,,,,,,,,,6,6,114,3,,,,,,,,,main,2,2,1,neutral,negative,l,l,1,0.6642587000969797,333.30193839990534,334.3143678000197,334.2977159000002,None,333.30193839990534,None,333.30193839990534,None,333.30193839990534,None,334.96433884000874,None,334.96433884000874,None,334.96433884000874,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,neutral,2,k,k,,,,,,,,,6,7,115,10,,,,,,,,,main,1,1,2,neutral,neutral,k,k,1,0.6316966000013053,334.96780940005556,335.9643997999374,335.9643997999374,None,334.96780940005556,None,334.96780940005556,None,334.96780940005556,None,336.5976256400114,None,336.5976256400114,None,336.5976256400114,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,negative,2,l,j,,,,,,,,,6,8,116,14,,,,,,,,,main,1,1,2,negative,positive,j,j,1,0.5814658000599593,336.60112769994885,337.5977425999008,337.5977425999008,None,336.60112769994885,None,336.60112769994885,None,336.60112769994885,None,338.1809358399129,None,338.1809358399129,None,338.1809358399129,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
negative,positive,1,j,l,,,,,,,,,6,9,117,6,,,,,,,,,main,1,1,1,positive,negative,l,l,1,0.5821277999784797,338.18461139989085,339.1976083999034,339.1643048999831,None,338.18461139989085,None,338.18461139989085,None,338.18461139989085,None,339.76423873987517,None,339.76423873987517,None,339.76423873987517,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,neutral,1,k,k,,,,,,,,,6,10,118,1,,,,,,,,,main,1,1,1,neutral,neutral,k,k,1,0.6313203000463545,339.76810469990596,340.78088840004057,340.7670090000611,None,339.76810469990596,None,339.76810469990596,None,339.76810469990596,None,341.3975471400423,None,341.3975471400423,None,341.3975471400423,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
negative,positive,2,j,l,,,,,,,,,6,11,119,15,,,,,,,,,main,1,1,2,positive,negative,l,l,1,0.5985020000953227,341.4017459999304,342.41421419987455,342.39755230001174,None,341.4017459999304,None,341.4017459999304,None,341.4017459999304,None,342.9975092399633,None,342.9975092399633,None,342.9975092399633,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,negative,1,l,j,,,,,,,,,6,12,120,5,,,,,,,,,main,2,2,1,negative,positive,j,j,1,0.6319519998505712,343.001105299918,344.0003899000585,344.0003899000585,None,343.001105299918,None,343.001105299918,None,343.001105299918,None,344.6308137399843,None,344.6308137399843,None,344.6308137399843,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,negative,1,k,k,,,,,,,,,6,13,121,7,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.5808671999257058,344.63737450004555,345.65019720001146,345.6337248000782,None,344.63737450004555,None,344.63737450004555,None,344.63737450004555,None,346.2141081399983,None,346.2141081399983,None,346.2141081399983,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,negative,2,k,k,,,,,,,,,6,14,122,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.5982496000360698,346.23087590001523,347.2307798000984,347.2168811999727,None,346.23087590001523,None,346.23087590001523,None,346.23087590001523,None,347.81409593999854,None,347.81409593999854,None,347.81409593999854,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,positive,1,k,k,,,,,,,,,6,15,123,4,,,,,,,,,main,1,1,1,positive,neutral,k,k,1,0.4980148999020457,347.8207348000724,348.8334808999207,348.8140706999693,None,347.8207348000724,None,347.8207348000724,None,347.8207348000724,None,349.3140611399664,None,349.3140611399664,None,349.3140611399664,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,neutral,1,l,j,,,,,,,,,6,16,124,8,,,,,,,,,main,2,2,1,neutral,positive,j,j,1,0.6643377998843789,349.32029450009577,350.33341319998726,350.3140740999952,None,349.32029450009577,None,349.32029450009577,None,349.32029450009577,None,350.9806826398941,None,350.9806826398941,None,350.9806826398941,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,positive,1,l,j,,,,,,,,,6,17,125,2,,,,,,,,,main,2,2,1,positive,positive,j,j,1,0.48158020013943315,350.9863360999152,351.9973635999486,351.98066370002925,None,350.9863360999152,None,350.9863360999152,None,350.9863360999152,None,352.46400063999465,None,352.46400063999465,None,352.46400063999465,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
negative,negative,2,j,l,,,,,,,,,7,0,126,9,,,,,,,,,main,2,2,2,negative,negative,l,l,1,0.5818574000149965,352.469594999915,353.4808247999754,353.45017539989203,None,352.469594999915,None,352.469594999915,None,352.469594999915,None,354.0472611398669,None,354.0472611398669,None,354.0472611398669,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
neutral,neutral,1,k,k,,,,,,,,,7,1,127,1,,,,,,,,,main,1,1,1,neutral,neutral,k,k,1,0.5317466000560671,354.0527335999068,355.0639875999186,355.0474501999561,None,354.0527335999068,None,354.0527335999068,None,354.0527335999068,None,355.58061254003553,None,355.58061254003553,None,355.58061254003553,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
positive,neutral,1,l,j,,,,,,,,,7,2,128,8,,,,,,,,,main,2,2,1,neutral,positive,j,j,1,0.665038299979642,355.5841089999303,356.5972269999329,356.58057469991036,None,355.5841089999303,None,355.5841089999303,None,355.5841089999303,None,357.24720274007416,None,357.24720274007416,None,357.24720274007416,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
negative,negative,1,j,l,,,,,,,,,7,3,129,0,,,,,,,,,main,2,2,1,negative,negative,l,l,1,0.5982135001104325,357.25285749998875,358.26390230003744,358.2472059999127,None,357.25285749998875,None,357.25285749998875,None,357.25285749998875,None,358.84694043991624,None,358.84694043991624,None,358.84694043991624,None,,,,,,,,,,,,,,105,2023-03-29_18h43.13.671,Main,2022.1.1,59.900218195911656,
