target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
neutral,negative,1,k,k,,,,,0,10,10,7,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,1.0013276999816298,148.30413629999384,149.31789899989963,149.29848709981889,None,148.30413629999384,None,148.30413629999384,None,148.30413629999384,None,150.3013549698284,None,150.3013549698284,None,150.3013549698284,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
positive,neutral,2,l,j,,,,,0,11,11,17,,,,,,,,,,,,,prac,1,1,2,neutral,positive,l,l,1,0.7957047999370843,150.30591330002062,151.3151020000223,151.29842510004528,None,150.30591330002062,None,150.30591330002062,None,150.30591330002062,None,152.09838686997537,None,152.09838686997537,None,152.09838686997537,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
neutral,neutral,1,k,k,,,,,0,12,12,1,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,k,k,1,0.8485173999797553,152.1032666999381,153.11781169986352,153.09839569986798,None,152.1032666999381,None,152.1032666999381,None,152.1032666999381,None,153.94840196983424,None,153.94840196983424,None,153.94840196983424,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
neutral,neutral,2,k,k,,,,,0,13,13,10,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,k,k,1,0.9154679998755455,153.9651344998274,154.96518099983223,154.9483969998546,None,153.9651344998274,None,153.9651344998274,None,153.9651344998274,None,155.864810169884,None,155.864810169884,None,155.864810169884,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
neutral,positive,2,k,k,,,,,0,14,14,13,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,0.7820330001413822,155.871612199815,156.8816815998871,156.86502359993756,None,155.871612199815,None,155.871612199815,None,155.871612199815,None,157.64832467001398,None,157.64832467001398,None,157.64832467001398,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
negative,negative,2,j,l,,,,,0,15,15,9,,,,,,,,,,,,,prac,2,2,2,negative,negative,j,j,1,0.7987025000620633,157.6540763999801,158.6678457998205,158.6316587999463,None,157.6540763999801,None,157.6540763999801,None,157.6540763999801,None,159.44827497003135,None,159.44827497003135,None,159.44827497003135,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
negative,positive,2,j,l,,,,,0,16,16,15,,,,,,,,,,,,,prac,2,2,2,positive,negative,j,j,1,0.6821761999744922,159.45344569999725,160.4650536000263,160.43439959990792,None,159.45344569999725,None,159.45344569999725,None,159.45344569999725,None,161.1315629698569,None,161.1315629698569,None,161.1315629698569,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
positive,positive,1,l,j,,,,,0,17,17,2,,,,,,,,,,,,,prac,1,1,1,positive,positive,l,l,1,0.8487551999278367,161.13754909997806,162.1482273999136,162.13155129994266,None,161.13754909997806,None,161.13754909997806,None,161.13754909997806,None,162.98155306999107,None,162.98155306999107,None,162.98155306999107,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
negative,positive,1,j,l,,,,,1,0,18,6,,,,,,,,,,,,,prac,1,1,1,positive,negative,j,j,1,0.8816255000419915,162.98717550002038,163.99820709996857,163.98435109993443,None,162.98717550002038,None,162.98717550002038,None,162.98717550002038,None,164.86482737001498,None,164.86482737001498,None,164.86482737001498,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
negative,negative,2,j,l,,,,,1,1,19,9,,,,,,,,,,,,,prac,2,2,2,negative,negative,j,j,1,0.697694499976933,164.8708085999824,165.88150749984197,165.86482879985124,None,164.8708085999824,None,164.8708085999824,None,164.8708085999824,None,166.5648434699746,None,166.5648434699746,None,166.5648434699746,None,,,,,,,,,,,,,,204,2023-03-28_14h44.36.071,Main,2022.1.1,58.98459200445998,
