target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,negative,1,j,l,,,,,,,,,11,3,201,0,,,,,,,,,main,2,2,1,negative,negative,j,j,1,0.8159543999936432,500.07109839998884,501.0862492999877,501.06964789997437,None,500.07109839998884,None,500.07109839998884,None,500.07109839998884,None,501.8841098699748,None,501.8841098699748,None,501.8841098699748,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,neutral,1,j,l,,,,,,,,,11,4,202,3,,,,,,,,,main,1,1,1,neutral,negative,j,j,1,0.7661174999957439,501.8888850999938,502.90291069998057,502.88627339998493,None,501.8888850999938,None,501.8888850999938,None,501.8888850999938,None,503.65280576998776,None,503.65280576998776,None,503.65280576998776,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,positive,2,k,k,,,,,,,,,11,5,203,13,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.6153730000078212,503.6564356999879,504.6696186999907,504.6529496999865,None,503.6564356999879,None,503.6564356999879,None,503.6564356999879,None,505.2694997699844,None,505.2694997699844,None,505.2694997699844,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,negative,1,k,k,,,,,,,,,11,6,204,7,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.6333893999981228,505.27282189999823,506.2862266000011,506.2696259999939,None,505.27282189999823,None,505.27282189999823,None,505.27282189999823,None,506.9046415699966,None,506.9046415699966,None,506.9046415699966,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,neutral,1,l,j,,,,,,,,,11,7,205,8,,,,,,,,,main,2,2,1,neutral,positive,l,l,1,0.9272664000163786,506.9170974000008,507.9169565999764,507.90028959998745,None,506.9170974000008,None,506.9170974000008,None,506.9170974000008,None,508.83357836998476,None,508.83357836998476,None,508.83357836998476,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,negative,1,l,j,,,,,,,,,11,8,206,5,,,,,,,,,main,2,2,1,negative,positive,l,l,1,0.5150188999832608,508.83403830000316,509.83361269999295,509.83361269999295,None,508.83403830000316,None,508.83403830000316,None,508.83403830000316,None,510.3502322699904,None,510.3502322699904,None,510.3502322699904,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,neutral,2,j,l,,,,,,,,,11,9,207,12,,,,,,,,,main,1,1,2,neutral,negative,j,j,1,0.7507954999746289,510.35139809999964,511.3669243999757,511.35025859999587,None,510.35139809999964,None,510.35139809999964,None,510.35139809999964,None,512.1028697699919,None,512.1028697699919,None,512.1028697699919,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,positive,2,j,l,,,,,,,,,11,10,208,15,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.5315532999811694,512.1076474000001,513.119469199999,513.1028388999985,None,512.1076474000001,None,512.1076474000001,None,512.1076474000001,None,513.6359128699958,None,513.6359128699958,None,513.6359128699958,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,negative,2,j,l,,,,,,,,,11,11,209,9,,,,,,,,,main,2,2,2,negative,negative,j,j,1,0.729566199996043,513.6391811999783,514.6526543999789,514.636045399995,None,513.6391811999783,None,513.6391811999783,None,513.6391811999783,None,515.3671178699849,None,515.3671178699849,None,515.3671178699849,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,positive,1,j,l,,,,,,,,,11,12,210,6,,,,,,,,,main,1,1,1,positive,negative,j,j,1,0.7506544000061695,515.3729776999971,516.3858870999829,516.3692974000005,None,515.3729776999971,None,515.3729776999971,None,515.3729776999971,None,517.1192421699786,None,517.1192421699786,None,517.1192421699786,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
