target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,neutral,2,j,l,,,,,,,,,0,0,0,12,,,,,,,121.99998160003452,None,main,1,1,2,neutral,negative,l,l,1,0.6281133000156842,124.00457190000452,125.0140967000043,124.99743430002127,None,124.00457190000452,None,124.00457190000452,None,124.00457190000452,None,125.63075851998292,None,125.63075851998292,None,125.63075851998292,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,neutral,2,k,k,,,,,,,,,0,1,1,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.46659660001751035,125.63197719998425,126.64744770003017,126.63078429998131,None,125.63197719998425,None,125.63197719998425,None,125.63197719998425,None,127.09990492003271,None,127.09990492003271,None,127.09990492003271,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,negative,1,j,l,,,,,,,,,0,2,2,0,,,,,,,,,main,1,1,1,negative,negative,l,l,1,0.632335799979046,127.10352350003086,128.1165800000308,128.0999597000191,None,127.10352350003086,None,127.10352350003086,None,127.10352350003086,None,128.7332481199992,None,128.7332481199992,None,128.7332481199992,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,negative,2,l,j,,,,,,,,,0,3,3,14,,,,,,,,,main,1,1,2,negative,positive,j,j,1,0.5804999000392854,128.7375905000372,129.74977920000674,129.7331779000233,None,128.7375905000372,None,128.7375905000372,None,128.7375905000372,None,130.316418219998,None,130.316418219998,None,130.316418219998,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,positive,1,l,j,,,,,,,,,0,4,4,2,,,,,,,,,main,1,1,1,positive,positive,j,j,1,0.5131262000068091,130.32118430000264,131.3330977000296,131.31657580001047,None,130.32118430000264,None,130.32118430000264,None,130.32118430000264,None,131.83095342002343,None,131.83095342002343,None,131.83095342002343,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,negative,2,k,k,,,,,,,,,0,5,5,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.48385389999020845,131.83466009999393,132.8497786000371,132.83312379999552,None,131.83466009999393,None,131.83466009999393,None,131.83466009999393,None,133.3164208200178,None,133.3164208200178,None,133.3164208200178,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,positive,1,k,k,,,,,,,,,0,6,6,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.6459160000085831,133.3197097000084,134.33301669999491,134.31647210003575,None,133.3197097000084,None,133.3197097000084,None,133.3197097000084,None,134.96389191999333,None,134.96389191999333,None,134.96389191999333,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,negative,1,l,j,,,,,,,,,0,7,7,5,,,,,,,,,main,2,2,1,negative,positive,j,j,1,0.5815110999974422,134.9644544000039,135.9639302000287,135.9639302000287,None,134.9644544000039,None,134.9644544000039,None,134.9644544000039,None,136.54725162003888,None,136.54725162003888,None,136.54725162003888,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,positive,1,j,l,,,,,,,,,0,8,8,6,,,,,,,,,main,2,2,1,positive,negative,l,l,1,0.7511416000197642,136.55124499998055,137.5663268000353,137.54978910001228,None,136.55124499998055,None,136.55124499998055,None,136.55124499998055,None,138.29966232000152,None,138.29966232000152,None,138.29966232000152,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,neutral,1,j,l,,,,,,,,,0,9,9,3,,,,,,,,,main,2,2,1,neutral,negative,l,l,1,0.5485031999996863,138.30365279997932,139.31625969999004,139.29748680000193,None,138.30365279997932,None,138.30365279997932,None,138.30365279997932,None,139.84958122001262,None,139.84958122001262,None,139.84958122001262,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
