target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,negative,2,j,l,,,,,,,,,7,15,141,9,,,,,,,,,main,2,2,2,negative,negative,l,l,1,1.099918600055389,361.22513909998816,362.24012460000813,362.2234467000235,None,361.22513909998816,None,361.22513909998816,None,361.22513909998816,None,363.32583961999046,None,363.32583961999046,None,363.32583961999046,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,neutral,2,k,k,,,,,,,,,7,16,142,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.6464066000189632,363.32924340001773,364.34259230003227,364.32600789994467,None,363.32924340001773,None,363.32924340001773,None,363.32924340001773,None,364.97355092004875,None,364.97355092004875,None,364.97355092004875,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,negative,1,j,l,,,,,,,,,7,17,143,0,,,,,,,,,main,1,1,1,negative,negative,l,l,1,0.7507144999690354,364.98036639997736,365.9925835999893,365.9759126000572,None,364.98036639997736,None,364.98036639997736,None,364.98036639997736,None,366.7258871200262,None,366.7258871200262,None,366.7258871200262,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,neutral,1,k,k,,,,,,,,,8,0,144,1,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.5982242999598384,366.72920599998906,367.74244379997253,367.7258406999754,None,366.72920599998906,None,366.72920599998906,None,366.72920599998906,None,368.3258524199715,None,368.3258524199715,None,368.3258524199715,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,positive,1,j,l,,,,,,,,,8,1,145,6,,,,,,,,,main,2,2,1,positive,negative,l,l,1,0.8291496000019833,368.32911040005274,369.3424591999501,369.32582220004406,None,368.32911040005274,None,368.32911040005274,None,368.32911040005274,None,370.15651751998814,None,370.15651751998814,None,370.15651751998814,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,positive,1,l,j,,,,,,,,,8,2,146,2,,,,,,,,,main,2,2,1,positive,positive,j,j,1,0.6314678000053391,370.15652850002516,371.15650210005697,371.15650210005697,None,370.15652850002516,None,370.15652850002516,None,370.15652850002516,None,371.7898429200519,None,371.7898429200519,None,371.7898429200519,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,neutral,1,l,j,,,,,,,,,8,3,147,8,,,,,,,,,main,2,2,1,neutral,positive,j,j,1,0.548623500042595,371.78986160003114,372.78983180003706,372.78983180003706,None,371.78986160003114,None,371.78986160003114,None,371.78986160003114,None,373.33993972002065,None,373.33993972002065,None,373.33993972002065,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,negative,1,l,j,,,,,,,,,8,4,148,5,,,,,,,,,main,1,1,1,negative,positive,j,j,1,0.5510152999777347,373.34332840004936,374.3422729000449,374.3257455000421,None,373.34332840004936,None,373.34332840004936,None,373.34332840004936,None,374.89240551998375,None,374.89240551998375,None,374.89240551998375,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,positive,1,k,k,,,,,,,,,8,5,149,4,,,,,,,,,main,1,1,1,positive,neutral,k,k,1,0.6650842999806628,374.8951749999542,375.90895359998103,375.8923090000171,None,374.8951749999542,None,374.8951749999542,None,374.8951749999542,None,376.55870242000094,None,376.55870242000094,None,376.55870242000094,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,negative,2,k,k,,,,,,,,,8,6,150,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.581872700015083,376.5636093999492,377.575508799986,377.55892500001937,None,376.5636093999492,None,376.5636093999492,None,376.5636093999492,None,378.14221462004355,None,378.14221462004355,None,378.14221462004355,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,negative,2,l,j,,,,,,,,,8,7,151,14,,,,,,,,,main,2,2,2,negative,positive,j,j,1,0.6311592001002282,378.1508045999799,379.1588121999521,379.14230690000113,None,378.1508045999799,None,378.1508045999799,None,378.1508045999799,None,379.77559032002466,None,379.77559032002466,None,379.77559032002466,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,positive,2,k,k,,,,,,,,,8,8,152,13,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.5295211999909952,379.77860099996906,380.79224340000656,380.7756037999643,None,379.77860099996906,None,379.77860099996906,None,379.77860099996906,None,381.30630792004524,None,381.30630792004524,None,381.30630792004524,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,negative,1,j,l,,,,,,,,,8,9,153,0,,,,,,,,,main,2,2,1,negative,negative,l,l,1,0.698467000038363,381.3063662999775,382.30650960002095,382.30650960002095,None,381.3063662999775,None,381.3063662999775,None,381.3063662999775,None,383.0063045199728,None,383.0063045199728,None,383.0063045199728,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,neutral,1,j,l,,,,,,,,,8,10,154,3,,,,,,,,,main,1,1,1,neutral,negative,l,l,1,0.6987777999602258,383.00967810000293,384.00891189998947,384.00891189998947,None,383.00967810000293,None,383.00967810000293,None,383.00967810000293,None,384.7066029199865,None,384.7066029199865,None,384.7066029199865,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,positive,2,l,j,,,,,,,,,8,11,155,11,,,,,,,,,main,2,2,2,positive,positive,j,j,1,0.6832822000142187,384.7127229999751,385.7254202000331,385.70876740000676,None,384.7127229999751,None,384.7127229999751,None,384.7127229999751,None,386.39025842004924,None,386.39025842004924,None,386.39025842004924,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,neutral,2,j,l,,,,,,,,,8,12,156,12,,,,,,,,,main,1,1,2,neutral,negative,l,l,1,0.6463553999783471,386.3967123000184,387.4087149000261,387.3920827000402,None,386.3967123000184,None,386.3967123000184,None,386.3967123000184,None,388.03958282005044,None,388.03958282005044,None,388.03958282005044,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,neutral,2,l,j,,,,,,,,,8,13,157,17,,,,,,,,,main,1,1,2,neutral,positive,j,j,1,0.6984398000640795,388.04264290002175,389.0420043000486,389.0253712000558,None,388.04264290002175,None,388.04264290002175,None,388.04264290002175,None,389.7396091199713,None,389.7396091199713,None,389.7396091199713,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,negative,1,k,k,,,,,,,,,8,14,158,7,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.6151152999373153,389.7458978999639,390.75305669999216,390.73846070002764,None,389.7458978999639,None,389.7458978999639,None,389.7458978999639,None,391.35608322001065,None,391.35608322001065,None,391.35608322001065,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,neutral,2,k,k,,,,,,,,,8,15,159,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.6818912000162527,391.3560579000041,392.3561020999914,392.3561020999914,None,391.3560579000041,None,391.3560579000041,None,391.3560579000041,None,393.03941871996506,None,393.03941871996506,None,393.03941871996506,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,negative,2,j,l,,,,,,,,,8,16,160,9,,,,,,,,,main,1,1,2,negative,negative,l,l,1,0.748687700019218,393.0561050999677,394.0561278000241,394.0394596999977,None,393.0561050999677,None,393.0561050999677,None,393.0561050999677,None,394.78944562005347,None,394.78944562005347,None,394.78944562005347,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,positive,2,j,l,,,,,,,,,8,17,161,15,,,,,,,,,main,2,2,2,positive,negative,l,l,1,0.6320507999043912,394.7937923000427,395.80858609999996,395.7919508999912,None,394.7937923000427,None,394.7937923000427,None,394.7937923000427,None,396.42403431995774,None,396.42403431995774,None,396.42403431995774,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,negative,2,j,l,,,,,,,,,9,0,162,9,,,,,,,,,main,1,1,2,negative,negative,l,l,1,0.6492720999522135,396.42993029998615,397.44183869997505,397.42522119998466,None,396.42993029998615,None,396.42993029998615,None,396.42993029998615,None,398.0751991200028,None,398.0751991200028,None,398.0751991200028,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,positive,1,k,k,,,,,,,,,9,1,163,4,,,,,,,,,main,1,1,1,positive,neutral,k,k,1,0.6315743000013754,398.07812620000914,399.09174910001457,399.0751531999558,None,398.07812620000914,None,398.07812620000914,None,398.07812620000914,None,399.70847801994535,None,399.70847801994535,None,399.70847801994535,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,negative,2,k,k,,,,,,,,,9,2,164,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.5814108999911696,399.7121150000021,400.7251273000147,400.70851909997873,None,399.7121150000021,None,399.7121150000021,None,399.7121150000021,None,401.29187152001543,None,401.29187152001543,None,401.29187152001543,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,negative,2,l,j,,,,,,,,,9,3,165,14,,,,,,,,,main,1,1,2,negative,positive,j,j,1,0.6122809000080451,401.2948835999705,402.3083672999637,402.2917295000516,None,401.2948835999705,None,401.2948835999705,None,401.2948835999705,None,402.9058160200017,None,402.9058160200017,None,402.9058160200017,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,positive,2,j,l,,,,,,,,,9,4,166,15,,,,,,,,,main,1,1,2,positive,negative,l,l,1,0.7645880000200123,402.9063366999617,403.905858800048,403.905858800048,None,402.9063366999617,None,402.9063366999617,None,402.9063366999617,None,404.6725377199706,None,404.6725377199706,None,404.6725377199706,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,positive,1,l,j,,,,,,,,,9,5,167,2,,,,,,,,,main,2,2,1,positive,positive,j,j,1,0.6317213999573141,404.6745496999938,405.689180699992,405.6725281999679,None,404.6745496999938,None,404.6745496999938,None,404.6745496999938,None,406.30581912004857,None,406.30581912004857,None,406.30581912004857,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,neutral,1,j,l,,,,,,,,,9,6,168,3,,,,,,,,,main,1,1,1,neutral,negative,l,l,1,0.5845216000452638,406.30584589997306,407.3058678000234,407.2892012000084,None,406.30584589997306,None,406.30584589997306,None,406.30584589997306,None,407.89164492001294,None,407.89164492001294,None,407.89164492001294,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,positive,2,l,j,,,,,,,,,9,7,169,11,,,,,,,,,main,2,2,2,positive,positive,j,j,1,0.6648824000731111,407.89524390001316,408.9083112999797,408.8917387999827,None,407.89524390001316,None,407.89524390001316,None,407.89524390001316,None,409.55827261998786,None,409.55827261998786,None,409.55827261998786,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,neutral,1,l,j,,,,,,,,,9,8,170,8,,,,,,,,,main,1,1,1,neutral,positive,j,j,1,1.1976202999940142,409.56214199995156,410.5749395999592,410.558323699981,None,409.56214199995156,None,409.56214199995156,None,409.56214199995156,None,411.7582084200345,None,411.7582084200345,None,411.7582084200345,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,negative,1,l,j,,,,,,,,,9,9,171,5,,,,,,,,,main,2,2,1,negative,positive,j,j,1,0.5959432000527158,411.7620359000284,412.7748910000082,412.7582533999812,None,411.7620359000284,None,411.7620359000284,None,411.7620359000284,None,413.3557289199904,None,413.3557289199904,None,413.3557289199904,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
