distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.113367300000391,173.26321420000022,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5015376000010292,175.37721630000306,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4992378000024473,177.8797984000048,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.896502399999008,180.37978000000294,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8019617999962065,182.2770696000007,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,0.9664209000038682,184.07745570000407,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,blue,2,k,None,,,,,1,17,37,17,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7955482999968808,186.04651850000664,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,blue,1,k,None,,,,,1,18,38,18,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7018299000046682,187.8436112000054,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,yellow,1,None,k,,,,,1,19,39,19,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498868800001219,189.5461940000023,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.04621179999958,None,192.04621179999958,None,0.026851851,-0.119444445,0,0,0,0.014191620000929106,None,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,yellow,2,k,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,195.14352400000644,None,195.14352400000644,None,main,k,k,1,2.2239962999956333,197.1784575000056,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,red,1,None,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,main,None,None,1,1.4870573000007425,201.41007370000443,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,blue,2,k,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,main,k,k,1,1.4129708999971626,203.89599460000318,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
