distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6968121000099927,173.95414379995782,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5019827000796795,175.65158329997212,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498550400021486,178.1543458000524,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496880799997598,180.65418489999138,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4988636000780389,183.15146109997295,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5015419999836013,185.6514359000139,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6634951999876648,188.15406490000896,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,2,k,None,,,,,1,17,37,17,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5015131001127884,189.81797710002866,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,1,k,None,,,,,1,18,38,18,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.499009900027886,192.32050489995163,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,1,None,k,,,,,1,19,39,19,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7469843999715522,194.82049950002693,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.56782270001713,None,196.56782270001713,None,0.0046296297,-0.08240741,0,0,0,0.013958179973997176,None,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,2,k,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,197.48452900000848,None,197.48452900000848,None,main,None,None,1,1.4966696000192314,199.512386300019,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,red,1,None,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,main,None,None,1,1.5016824000049382,202.01770910003688,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,2,k,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,main,None,None,1,1.498954499955289,204.52030289999675,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,1,k,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,main,None,None,1,1.4965875999769196,207.02026420005132,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,2,k,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,main,None,None,1,1.5016562999226153,209.51762579998467,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,2,None,k,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,main,k,k,1,0.5386266000568867,212.02021949994378,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,2,None,k,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,main,k,k,1,0.543291199952364,213.5636335000163,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,red,2,None,None,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,main,None,None,1,1.4962420999072492,215.10327179997694,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,1,None,k,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,main,k,k,1,0.5994806999806315,217.6007237000158,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,red,1,None,None,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,main,None,None,1,1.5015176000306383,219.20078730001114,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,1,None,k,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,main,k,k,1,0.6973319000098854,221.70331030001398,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,1,k,None,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,main,None,None,1,1.5009636000031605,223.40063269995153,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,1,k,None,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,main,None,None,1,1.4989979000529274,225.9032476999564,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,red,2,None,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,main,None,None,1,1.4964274999219924,228.4031960000284,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,2,None,k,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,main,k,k,1,0.7188715999945998,230.9005223000422,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,1,k,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,main,None,None,1,1.4958336000563577,232.619834800018,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,1,None,k,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,main,k,k,1,0.5828662000130862,235.1170464999741,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,2,k,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,main,None,None,1,1.5013721999712288,236.70039330003783,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,2,None,k,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,main,k,k,1,0.5690630000317469,239.20294550003018,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,1,None,k,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,main,k,k,1,0.6765344999730587,240.7763721999945,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,1,None,k,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,main,k,k,1,0.6684603999601677,242.45022070000414,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,2,None,k,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,main,k,k,1,0.6658525000093505,244.1195260999957,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,red,1,None,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,main,None,None,1,1.4962016000645235,245.7861269999994,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,red,2,None,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,main,None,None,1,1.5018169999821112,248.2834404000314,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,red,2,None,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,main,None,None,1,1.4970560999354348,250.78611320001073,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,2,k,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,main,None,None,1,1.5010798999574035,253.2833465000149,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,1,k,None,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,main,None,None,1,1.4990165999624878,255.7859027000377,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,2,k,None,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,main,None,None,1,1.496418199967593,258.2859266999876,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,2,None,k,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,main,k,k,1,0.7687226999551058,260.7832544000121,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,red,1,None,None,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,main,None,None,1,1.4961734999669716,262.55244060000405,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,1,k,None,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,main,None,None,1,1.501744300010614,265.04976219998207,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,1,None,k,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,main,k,k,1,0.6493025000672787,267.5523683000356,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,2,k,None,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,main,None,None,1,1.4964197999797761,269.20230829995126,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,1,None,k,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,main,k,k,1,0.7326881000772119,271.69963389995974,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,1,k,None,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,main,None,None,1,1.5017029999289662,273.43299929995555,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,1,k,None,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,main,None,None,1,1.4963408999610692,275.9356266000541,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,2,None,k,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,main,k,k,1,0.5352141000330448,278.4328442000551,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,2,None,k,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,main,k,k,1,0.6825869000749663,279.9687386000296,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,2,k,None,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,main,None,None,1,1.4961153999902308,281.6521101000253,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,1,None,k,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,main,k,k,1,0.7021307999966666,284.14937450003345,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,2,k,None,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,main,None,None,1,1.499009900027886,285.85204589995556,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,2,k,None,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,main,None,None,1,1.499157499987632,288.3519790000282,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,blue,2,k,None,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,main,None,None,1,1.4966666999971494,290.84954269998707,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,2,None,k,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,main,k,k,1,0.6003337999572977,293.34920000005513,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,red,1,None,None,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,main,None,None,1,1.500482500065118,294.94921320001595,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,1,k,None,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,main,None,None,1,1.4961973000317812,297.451786300051,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,1,k,None,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,main,None,None,1,1.5018273000605404,299.94904990005307,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,red,1,None,None,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,main,None,None,1,1.496517000021413,302.4516625000397,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,1,None,k,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,main,k,k,1,1.2160840999567881,304.9489612999605,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
