distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,2,k,None,,,,,,,,,0,183,183,183,,,,,,,,,,,,,,,,,main,None,None,1,1.4992170999757946,608.9280454000109,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,2,None,k,,,,,,,,,0,184,184,184,,,,,,,,,,,,,,,,,main,k,k,1,-0.7676828000112437,611.4279833000037,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,1,None,k,,,,,,,,,0,185,185,185,,,,,,,,,,,,,,,,,main,k,k,1,0.6714222000446171,614.6752273000311,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,red,2,None,None,,,,,,,,,0,186,186,186,,,,,,,,,,,,,,,,,main,None,None,1,1.4979792999802157,616.3444517000462,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,1,k,None,,,,,,,,,0,187,187,187,,,,,,,,,,,,,,,,,main,None,None,1,1.4963411000207998,618.8444987999974,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,yellow,1,k,None,,,,,,,,,0,188,188,188,,,,,,,,,,,,,,,,,main,None,None,1,1.5017399999778718,621.3417457000469,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,2,None,k,,,,,,,,,0,189,189,189,,,,,,,,,,,,,,,,,main,k,k,1,0.5325250999885611,623.8443044000305,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,yellow,2,k,None,,,,,,,,,0,190,190,190,,,,,,,,,,,,,,,,,main,None,None,1,1.4990727999829687,625.3776443999959,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,yellow,1,k,None,,,,,,,,,0,191,191,191,,,,,,,,,,,,,,,,,main,None,None,1,1.4960751000326127,627.8775691000046,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,2,k,None,,,,,,,,,0,192,192,192,,,,,,,,,,,,,,,,,main,None,None,1,1.5020325999939814,630.3748748000362,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,1,None,k,,,,,,,,,0,193,193,193,,,,,,,,,,,,,,,,,main,k,k,1,0.6824465999961831,632.8774961000308,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,red,2,None,None,,,,,,,,,0,194,194,194,,,,,,,,,,,,,,,,,main,None,None,1,1.496172100014519,634.5608395000454,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,red,1,None,None,,,,,,,,,0,195,195,195,,,,,,,,,,,,,,,,,main,None,None,1,1.5019611000316218,637.0580655999947,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,blue,1,None,k,,,,,,,,,0,196,196,196,,,,,,,,,,,,,,,,,main,k,k,1,0.8657912000198849,639.5606699000346,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,2,k,None,,,,,,,,,0,197,197,197,,,,,,,,,,,,,,,,,main,None,None,1,1.4964218999957666,641.4273125000182,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,blue,2,None,k,,,,,,,,,0,198,198,198,,,,,,,,,,,,,,,,,main,k,k,1,0.7024213999975473,643.924636700016,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,blue,2,None,k,,,,,,,,,0,199,199,199,,,,,,,,,,,,,,,,,main,k,k,1,0.6321254999493249,645.6272939000046,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,2,k,None,,,,,,,,,0,200,200,200,,,,,,,,,,,,,,,,,main,None,None,1,1.4972353999619372,647.2604431000073,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,2,k,None,,,,,,,,,0,201,201,201,,,,,,,,,,,,,,,,,main,None,None,1,1.5010703000007197,649.7577865000349,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,yellow,2,k,None,,,,,,,,,0,202,202,202,,,,,,,,,,,,,,,,,main,None,None,1,1.4989092000178061,652.2604337999946,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,red,1,None,None,,,,,,,,,0,203,203,203,,,,,,,,,,,,,,,,,main,None,None,1,1.4967405999777839,654.7579590000096,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,blue,2,None,k,,,,,,,,,0,204,204,204,,,,,,,,,,,,,,,,,main,k,k,1,0.8182180000003427,657.2579150000238,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
