distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5018293000175618,180.14360950002447,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7490246999659576,182.64628330001142,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4988343000295572,184.39622699999018,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4992628999752924,186.89353400003165,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9303110000328161,189.39610720000928,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.5659176999470219,191.32932700001402,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4984192000119947,192.89584940002533,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,2,k,None,,,,,1,17,37,17,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.018374200037215,195.39337559998967,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,1,k,None,,,,,1,18,38,18,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6659392999717966,197.41257240000414,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,1,None,k,,,,,1,19,39,19,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4961636000080034,199.07937690004474,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.57651630003238,None,201.57651630003238,None,-0.8888889,-0.048148148,0,0,0,0.01451894995989278,None,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,2,k,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,212.72888230002718,None,212.72888230002718,None,main,k,k,1,1.085921399993822,214.76526790001662,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,red,1,None,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,main,None,None,1,1.4961522000376135,216.86219730001176,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,2,k,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,main,k,k,1,1.2658018000074662,219.36527390003903,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,1,k,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,main,k,k,1,0.8185329000116326,221.62613540003076,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,2,k,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,main,k,k,1,0.7824240999761969,223.44525260000955,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,2,None,k,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,main,None,None,1,1.4963685999973677,225.22867570002563,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,2,None,k,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,main,None,None,1,1.5018978000152856,227.7259969000006,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,red,2,None,None,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,main,None,None,1,1.4989789000246674,230.22857189999195,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,1,None,k,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,main,None,None,1,1.4962964999722317,232.72847510001156,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,red,1,None,None,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,main,None,None,1,1.5018978000152856,235.2257615000126,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,1,None,k,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,main,None,None,1,1.4962653000256978,237.72841380001046,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,1,k,None,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,main,k,k,1,0.6159452000283636,240.22566510003526,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,1,k,None,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,main,k,k,1,0.6517815999686718,241.8423565000412,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,red,2,None,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,main,None,None,1,1.4991990000125952,243.49490940000396,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,2,None,k,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,main,None,None,1,1.4962123000295833,245.9948656000197,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,1,k,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,main,k,k,1,0.9520454999874346,248.4922139000264,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,1,None,k,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,main,None,k,0,0.632495200028643,250.4447080999962,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,2,k,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,main,k,k,1,0.93466890003765,253.0920546000125,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,2,None,k,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,main,None,None,1,1.5013289999915287,255.02538990002358,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,1,None,k,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,main,None,None,1,1.4963458999991417,257.52792339998996,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,1,None,k,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,main,None,None,1,1.5017701999749988,260.0252468000399,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,2,None,k,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,main,None,None,1,1.4964622000115924,262.5278345000115,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,red,1,None,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,main,None,None,1,1.501954499981366,265.0251263999962,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,red,2,None,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,main,None,None,1,1.4991780999698676,267.5277720000013,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,red,2,None,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,main,None,None,1,1.496159699978307,270.0276581000071,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,2,k,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,main,k,k,1,0.9354633999755606,272.5249635000364,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,1,k,None,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,main,k,k,1,1.0325796999968588,274.460904400039,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,2,k,None,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,main,k,k,1,0.912998299987521,276.4941303000087,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,2,None,k,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,main,None,None,1,1.503024000034202,278.4081702000112,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,red,1,None,None,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,main,None,None,1,1.4950512999785133,280.9107900999952,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,1,k,None,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,main,k,k,1,0.7994936999748461,283.4080753000453,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,1,None,k,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,main,None,None,1,1.5016082000220194,285.2080830000341,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,2,k,None,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,main,k,k,1,0.8490373999811709,287.71060019999277,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,1,None,k,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,main,None,None,1,1.4963695000042208,289.56047590001253,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,1,k,None,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,main,k,k,1,0.7661788000259548,292.0578746999963,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,1,k,None,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,main,k,k,1,0.9351250000181608,293.82456510001794,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,2,None,k,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,main,None,None,1,1.4989098999649286,295.76050030003535,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,2,None,k,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,main,None,None,1,1.4991997999604791,298.2580352000077,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,2,k,None,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,main,k,k,1,0.7799070000182837,300.7602421999909,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,1,None,k,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,main,None,None,1,1.5016814999980852,302.54098240000894,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,2,k,None,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,main,k,k,1,0.7159849000163376,305.04355440003565,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,2,k,None,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,main,k,k,1,1.0488940000068396,306.76023660000646,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,2,k,None,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,main,k,k,1,0.7136115000466816,308.80779370001983,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,2,None,k,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,main,None,None,1,1.4987205999786966,310.52410360000795,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,red,1,None,None,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,main,None,None,1,1.5016906000091694,313.0267842000467,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,1,k,None,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,main,k,k,1,0.9302596999914385,315.52671559999,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,1,k,None,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,main,k,k,1,0.6516047000186518,317.45730980002554,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,red,1,None,None,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,main,None,None,1,1.4991903000045568,319.1099760000361,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,1,None,k,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,main,None,None,1,1.4988337000249885,321.6098291000235,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,1,None,k,,,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,main,None,None,1,1.496420199982822,324.10970220004674,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,2,None,k,,,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,main,None,None,1,1.5019411999965087,326.6070920000202,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,1,None,k,,,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,main,None,None,1,1.4990195999853313,329.10750580002787,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,red,2,None,None,,,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,main,None,None,1,1.4964257999672554,331.6096849000314,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,2,None,k,,,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,main,None,None,1,1.5018279000069015,334.10696120001376,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,red,2,None,None,,,,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,main,None,None,1,1.4992066000122577,336.6096122000017,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,1,None,k,,,,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,main,None,None,1,1.4963177000172436,339.10955130000366,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,2,None,k,,,,,,,,,0,56,56,56,,,,,,,,,,,,,,,,,main,None,None,1,1.50192229996901,341.6067939000204,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,blue,1,k,None,,,,,,,,,0,57,57,57,,,,,,,,,,,,,,,,,main,k,k,1,1.9130469000083394,344.10944210004527,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
