distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,blue,1,k,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,main,None,None,1,1.5006276000058278,225.30648779997136,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,main,None,None,1,1.4970481999916956,227.80914939998183,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,main,k,k,1,0.9158406000351533,230.3063031999627,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,main,k,k,1,0.9504729000618681,232.22298179997597,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,2,None,None,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,main,None,None,1,1.4967470999108627,234.17566469998565,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,main,k,k,1,0.8985332999145612,236.6755284999963,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,1,None,None,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,main,None,None,1,1.501747899921611,238.57278259994928,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,main,k,k,1,0.8993935000617057,241.0754524000222,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,main,None,None,1,1.4985825000330806,242.9754403999541,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,main,None,None,1,1.4966563999187201,245.47326390002854,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,2,None,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,main,None,None,1,1.5026692999526858,247.9728190000169,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
