distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4963449998758733,165.4123857000377,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4980750000104308,167.909611399984,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4986270999070257,170.40910429996438,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4985589999705553,172.90929330000654,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4994477999862283,175.40962309995666,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0990901999175549,177.91161710000597,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4964962000958622,180.01161210006103,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4988000001758337,182.50923549989238,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.3672999998088926,185.00981179997325,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4967263999860734,187.3794021999929,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9999612998217344,189.87715919991024,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496440000133589,191.87887610006146,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4985724000725895,194.37662549992092,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8008292000740767,196.8761366000399,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9138944000005722,198.679351599887,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4974843000527471,200.59564399998635,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,blue,2,k,None,,,,,1,17,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9171631999779493,203.09318479988724,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,blue,1,k,None,,,,,1,18,38,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1983133000321686,205.01247849990614,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,1,None,k,,,,,1,19,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4967503999359906,207.21224489994347,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.72891369997524,None,209.72891369997524,None,0.05277778,-0.062962964,0,0,0,0.01213178993202746,None,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,2,k,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.89319660002366,None,225.89319660002366,None,main,k,k,1,1.1321954999584705,227.94453259999864,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,red,1,None,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4965282999910414,230.08132059988566,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,blue,2,k,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.0335017000325024,232.57703970000148,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,blue,1,k,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.0654945001006126,234.6124557000585,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,2,k,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8977978001348674,236.67967079998925,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,2,None,k,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4972822000272572,238.5788281999994,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,2,None,k,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4984091999940574,241.07740839989856,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,red,2,None,None,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4985641001258045,243.57751310011372,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,1,None,k,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4982714999932796,246.07763969991356,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,red,1,None,None,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.498539000051096,248.57723070005886,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,1,None,k,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4987846999429166,251.07758360006846,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,1,k,None,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.2996752001345158,253.57839419995435,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,yellow,1,k,None,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8982628001831472,255.8800180000253,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,red,2,None,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4968092998024076,257.7795452000573,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,yellow,2,None,k,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.498739699833095,260.2777464000974,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,blue,1,k,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.9166112998500466,262.7779878000729,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,1,None,k,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.496738700196147,264.696869000094,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
positive,blue,2,k,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.3673904999159276,267.19456600002013,None,None,0,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,2,None,k,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.496478500077501,269.5641264000442,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,1,None,k,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4984862999990582,272.0613605999388,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,1,None,k,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4985187000129372,274.56113040004857,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,blue,2,None,k,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4996577000711113,277.06118909991346,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
negative,red,1,None,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.49693589983508,279.56513400003314,None,None,1,,,,,,,,,,,,,,132,24,Female,2022-05-17_17h22.22.177,Parachute,2022.1.1,60.02880185674705,
