distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,mouse_3.clicked_name,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.4037399000008008,150.10632250000344,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4937085000055959,152.51529270000174,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.4509632000044803,155.00741140000173,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4956014999988838,157.4674540000051,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,red,1,None,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4984127999996417,159.9567859000017,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,2,k,None,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7368007999975816,162.45643120000022,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,1,k,None,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0652277000044705,164.2033614000029,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,1,None,k,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4940341999972588,166.2592819000056,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,2,k,None,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0866283000068506,168.75719980000576,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,1,k,None,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8987586000002921,170.84259770000062,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,1,None,k,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4937998000023072,172.74315249999927,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0178585999965435,175.2402246999991,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4963262000019313,177.25984630000312,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498344299994642,179.7577495000005,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4987757000053534,182.2570951000016,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4981236000021454,184.75795530000323,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4988310000044294,187.25768719999905,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0195822000023327,189.75759929999913,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4935887000028742,191.77626400000008,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4986659000060172,194.27327490000607,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0034529000040493,196.77350220000517,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.495019100002537,198.77655719999893,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.2858292999953846,201.27570790000027,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4937619999982417,203.56008710000606,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4986814000003505,206.0575828000001,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9170901000034064,208.55797870000242,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8349075000005541,210.47626350000064,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4940992000047117,212.31010240000614,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,2,k,None,,,,,1,17,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1198159999985364,214.8083209000033,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,1,k,None,,,,,1,18,38,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.765042099999846,216.926841600005,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,1,None,k,,,,,1,19,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4938149999943562,218.69356089999928,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.20394410000154,None,221.20394410000154,None,0.107407406,-0.08981481,0,0,0,0.012250049992871936,None,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,2,k,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.83891140000196,None,232.83891140000196,None,main,k,k,1,0.7960611000016797,234.87977850000607,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,red,1,None,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4941924000013387,236.67874329999904,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,2,k,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.5953115000011167,239.174811900004,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,1,k,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.5736496999961673,240.77299119999952,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,2,k,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.7148814999964088,242.34399230000417,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,2,None,k,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4939775000020745,244.0606573000041,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,2,None,k,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4984058999980334,246.55893890000152,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,red,2,None,None,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4983098000011523,249.0586895000015,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,1,None,k,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4989245999968261,251.5582493000038,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,red,1,None,None,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4982967999967514,254.05857990000368,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,1,None,k,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.499121799999557,256.5574704000028,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,1,k,None,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.9699346999987029,259.05880289999914,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,1,k,None,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.3481398000003537,261.0278021000049,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,red,2,None,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4951950999966357,263.3777623999995,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,2,None,k,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4979077999960282,265.8765371000045,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,1,k,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.0193723999982467,268.37630550000176,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,1,None,k,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4940978000013274,270.39464460000454,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,2,k,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8620516000009957,272.8918189000033,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,2,None,k,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.5025648999944679,274.75660600000265,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,1,None,k,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4979528000039863,277.2595517000009,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,1,None,k,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4985489999962738,279.75868620000256,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,2,None,k,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4986178999970434,282.25829100000556,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,red,1,None,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4989176000017324,284.7585837000006,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,red,2,None,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4986028999992413,287.2592644000033,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,red,2,None,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4980069999946863,289.75923680000415,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,2,k,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8459699000013643,292.25823420000233,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,1,k,None,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8565089000039734,294.1068216000058,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,2,k,None,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.6755827000015415,295.96190690000367,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,2,None,k,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.5014931999976397,297.6408880000017,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,red,1,None,None,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4986649000056786,300.14472540000133,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,1,k,None,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8521485999954166,302.64436650000425,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,1,None,k,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.510931700002402,304.4967925000019,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,2,k,None,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8516711000047508,307.0118647000054,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,1,None,k,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.5105982999957632,308.86373840000306,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,blue,1,k,None,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8109889999977895,311.3779377000028,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,1,k,None,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.7059953000061796,313.1906051000042,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,2,None,k,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.494357299998228,314.89550760000566,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,2,None,k,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,k,0,0.9038667999993777,317.39335109999956,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,2,k,None,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.9572352999966824,320.3073927000005,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
