distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.27113010000903,None,214.27113010000903,None,0.06481481,-0.074074075,0,0,0,0.013384789926931262,None,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,yellow,2,k,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,215.66579190001357,None,215.66579190001357,None,main,None,None,1,1.5057807000121102,217.70102279999992,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,red,1,None,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,main,None,None,1,1.4994634999893606,220.21814010001253,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,blue,2,k,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,main,None,None,1,1.4966031999792904,222.7155973999761,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,blue,1,k,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,main,None,None,1,1.4987802000250667,225.21555329998955,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,yellow,2,k,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,main,None,None,1,1.498741700022947,227.7154875000124,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,yellow,2,None,k,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,main,k,k,1,0.9980767000233755,230.2154096000013,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,2,None,k,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,main,k,k,1,0.9324586000293493,232.2154414000106,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,red,2,None,None,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,main,None,None,1,1.4994968000100926,234.15116660000058,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,yellow,1,None,k,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,main,k,k,1,0.8648036000085995,236.6486097999732,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
