distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,yellow,1,None,k,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,main,None,None,1,1.499949299992295,247.4834867999889,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,1,k,None,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,main,k,k,1,0.8130866000137758,249.9807693999901,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,1,k,None,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,main,k,k,1,0.6202324999903794,251.78901959999348,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,red,2,None,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,main,None,None,1,1.5027627999952529,253.41677829998662,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,2,None,k,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,main,None,None,1,1.492171399993822,255.9201871000114,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,1,k,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,main,k,k,1,0.8843984999984968,258.4139528000087,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,1,None,k,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,main,None,None,1,1.4969352000043727,260.2973689000064,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,2,k,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,main,k,k,1,0.732169300026726,262.80016509999405,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,2,None,k,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,main,None,None,1,1.4997901999740861,264.5307167999854,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,1,None,k,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,main,None,None,1,1.5004098000063095,267.0308190000069,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
