distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,mouse_3.clicked_name,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,yellow,1,None,k,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.9023576000035973,327.3693776999862,None,None,0,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
negative,blue,1,None,k,,,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.1152150999987498,329.2725006999972,None,None,0,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
positive,yellow,2,None,k,,,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.014438699989114,331.3888794999948,None,None,0,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
negative,blue,1,None,k,,,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.6998544000089169,333.40560909999476,None,None,0,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
positive,red,2,None,None,,,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4934193000080995,335.105765299988,None,None,1,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
positive,yellow,2,None,k,,,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.7368833000073209,337.6013569999923,None,None,0,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
negative,red,2,None,None,,,,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.493349099997431,339.33887179999147,None,None,1,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
positive,yellow,1,None,k,,,,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.7703135999909136,341.8348990999948,None,None,0,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
negative,blue,2,None,k,,,,,,,,,0,56,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.7990232000011019,343.60607649998565,None,None,0,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
positive,blue,1,k,None,,,,,,,,,0,57,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.493610000004992,345.40677369998593,None,None,1,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
positive,blue,1,k,None,,,,,,,,,0,58,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4983593999932054,347.90262119998806,None,None,1,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
negative,yellow,2,k,None,,,,,,,,,0,59,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.5003311000036774,350.4022097999987,None,None,1,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
positive,red,2,None,None,,,,,,,,,0,60,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.497216199990362,352.90413839998655,None,None,1,,,,,,,,,,,,,,111,23,Female,2022-05-03_20h16.53.923,Parachute,2022.1.1,59.922077330245166,
