distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,mouse_3.clicked_name,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4985152000153903,182.50093010001,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989632999931928,185.00073850000626,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.086926299991319,187.5009511000244,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,blue,2,k,None,,,,,1,17,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4940430000133347,189.5886715000088,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,blue,1,k,None,,,,,1,18,38,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4985481999756303,192.0848369000014,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,yellow,1,None,k,,,,,1,19,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8684010999859311,194.58554200001527,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.46959200000856,None,196.46959200000856,None,0.15833333,-0.06574074,0,0,0,0.012411479983711615,None,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,yellow,2,k,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.61802150000585,None,201.61802150000585,None,main,None,None,1,1.4965482999978121,203.65171510001528,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,red,1,None,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4984952000086196,206.15135320002446,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,blue,2,k,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4990110000071581,208.6510571000108,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,blue,1,k,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4991353999939747,211.1514488000248,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,yellow,2,k,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4987025000154972,213.6516385000141,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,yellow,2,None,k,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.9535156000056304,216.15135460000602,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,blue,2,None,k,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.0984004999918398,218.10611910000443,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,red,2,None,None,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4929756000055932,220.20682800002396,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,yellow,1,None,k,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.119089099986013,222.70356090000132,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,red,1,None,None,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4938298999913968,224.82309710001573,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,yellow,1,None,k,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.9707633999933023,227.31882320001023,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,yellow,1,k,None,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4936004000192042,229.2895344000135,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,yellow,1,k,None,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4981072999944445,231.7861146000214,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,red,2,None,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4991565000091214,234.28537320002215,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,yellow,2,None,k,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,1.0466454999987036,236.78576720002457,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,blue,1,k,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.5003885999904014,238.83556150001823,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,blue,1,None,k,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.5861516000004485,241.33526500000153,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,blue,2,k,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4949268999916967,242.92317829999956,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,blue,2,None,k,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.7867079999996349,245.41926010002499,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,blue,1,None,k,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.9157198999891989,247.21660200000042,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
