target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,negative,2,l,j,,,,,,,,,10,14,194,14,,,,,,,,,main,2,2,2,negative,positive,l,l,1,0.6981387999840081,542.2846902000019,543.2810754999518,543.2810754999518,None,542.2846902000019,None,542.2846902000019,None,542.2846902000019,None,543.9810805300134,None,543.9810805300134,None,543.9810805300134,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,positive,1,j,l,,,,,,,,,10,15,195,6,,,,,,,,,main,1,1,1,positive,negative,j,j,1,0.8149479000130668,543.9844847000204,544.9977978999959,544.9810460000299,None,543.9844847000204,None,543.9844847000204,None,543.9844847000204,None,545.7977144299424,None,545.7977144299424,None,545.7977144299424,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,neutral,1,k,k,,,,,,,,,10,16,196,1,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.6817224000114948,545.8009445000207,546.8172281000298,546.7976801999612,None,545.8009445000207,None,545.8009445000207,None,545.8009445000207,None,547.4809776300448,None,547.4809776300448,None,547.4809776300448,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,positive,2,j,l,,,,,,,,,10,17,197,15,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.815013200044632,547.4899454999249,548.4976261999691,548.4809709000401,None,547.4899454999249,None,547.4899454999249,None,547.4899454999249,None,549.2976886299788,None,549.2976886299788,None,549.2976886299788,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,negative,2,l,j,,,,,,,,,11,0,198,14,,,,,,,,,main,2,2,2,negative,positive,l,l,1,0.7814735999563709,549.3009455000283,550.297586599947,550.297586599947,None,549.3009455000283,None,549.3009455000283,None,549.3009455000283,None,551.0808998300112,None,551.0808998300112,None,551.0808998300112,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,negative,2,j,l,,,,,,,,,11,1,199,9,,,,,,,,,main,2,2,2,negative,negative,j,j,1,0.8816998000256717,551.0838393999729,552.0976910999743,552.0809616999468,None,551.0838393999729,None,551.0838393999729,None,551.0838393999729,None,552.9641968299751,None,552.9641968299751,None,552.9641968299751,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,neutral,2,l,j,,,,,,,,,11,2,200,17,,,,,,,,,main,2,2,2,neutral,positive,l,l,1,0.848528099944815,552.9674815000035,553.9808732999954,553.9642022999469,None,552.9674815000035,None,552.9674815000035,None,552.9674815000035,None,554.8142866299371,None,554.8142866299371,None,554.8142866299371,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,positive,2,j,l,,,,,,,,,11,3,201,15,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.9649213999509811,554.8181513999589,555.8308250999544,555.8141628999729,None,554.8181513999589,None,554.8181513999589,None,554.8181513999589,None,556.7808012300287,None,556.7808012300287,None,556.7808012300287,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,neutral,2,j,l,,,,,,,,,11,4,202,12,,,,,,,,,main,2,2,2,neutral,negative,j,j,1,0.7984647999983281,556.7846898999996,557.7974502999568,557.7837545999791,None,556.7846898999996,None,556.7846898999996,None,556.7846898999996,None,558.5807637300226,None,558.5807637300226,None,558.5807637300226,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,neutral,1,j,l,,,,,,,,,11,5,203,3,,,,,,,,,main,1,1,1,neutral,negative,j,j,1,1.381573999999091,558.5842950999504,559.6001927999314,559.5807505999692,None,558.5842950999504,None,558.5842950999504,None,558.5842950999504,None,560.9640038300189,None,560.9640038300189,None,560.9640038300189,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
