target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,mouse_2.clicked_name,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,positive,2,l,j,,,,,,,,,9,17,179,11,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,l,l,1,0.6717533999762964,528.8771441999997,529.895597499999,529.8568878999795,None,528.8771441999997,None,528.8771441999997,None,528.8771441999997,None,530.5360945999913,None,530.5360945999913,None,530.5360945999913,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,neutral,2,j,l,,,,,,,,,10,0,180,12,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,j,j,1,0.6488975999818649,530.5545639999909,531.5623198999965,531.5280826999806,None,530.5545639999909,None,530.5545639999909,None,530.5545639999909,None,532.188721799996,None,532.188721799996,None,532.188721799996,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,neutral,2,k,k,,,,,,,,,10,1,181,10,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.6330561999930069,532.2038146999839,533.2234983999806,533.1794067999872,None,532.2038146999839,None,532.2038146999839,None,532.2038146999839,None,533.8238288999768,None,533.8238288999768,None,533.8238288999768,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,positive,2,j,l,,,,,,,,,10,2,182,15,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.6843735000002198,533.8425863999873,534.8454690999934,534.8123554000049,None,533.8425863999873,None,533.8425863999873,None,533.8425863999873,None,535.5106742999982,None,535.5106742999982,None,535.5106742999982,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,negative,2,j,l,,,,,,,,,10,3,183,9,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,j,j,1,0.6983440000039991,535.5277448999987,536.5289346000063,536.5122549999796,None,535.5277448999987,None,535.5277448999987,None,535.5277448999987,None,537.2127345999819,None,537.2127345999819,None,537.2127345999819,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,negative,2,k,k,,,,,,,,,10,4,184,16,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.6363322999968659,537.2279304999975,538.243095199985,538.2236231999996,None,537.2279304999975,None,537.2279304999975,None,537.2279304999975,None,538.8528440999856,None,538.8528440999856,None,538.8528440999856,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,neutral,1,j,l,,,,,,,,,10,5,185,3,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,negative,j,j,1,0.7275658000144176,538.8683422000031,539.8737454999937,539.8737454999937,None,538.8683422000031,None,538.8683422000031,None,538.8683422000031,None,540.5815595999942,None,540.5815595999942,None,540.5815595999942,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,negative,2,l,j,,,,,,,,,10,6,186,14,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,positive,l,l,1,0.7203251000028104,540.5972585999989,541.6133222999924,541.5789839999925,None,540.5972585999989,None,540.5972585999989,None,540.5972585999989,None,542.3049675999849,None,542.3049675999849,None,542.3049675999849,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,negative,1,l,j,,,,,,,,,10,7,187,5,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,positive,l,l,1,0.6745449999871198,542.320902699983,543.3293890999921,543.2947584999783,None,542.320902699983,None,542.320902699983,None,542.320902699983,None,543.9807756999857,None,543.9807756999857,None,543.9807756999857,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,neutral,1,l,j,,,,,,,,,10,8,188,8,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,positive,l,l,1,0.6506709000095725,543.9964172999898,545.0123582999804,544.976287700003,None,543.9964172999898,None,543.9964172999898,None,543.9964172999898,None,545.6352143999887,None,545.6352143999887,None,545.6352143999887,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
