target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,neutral,2,j,l,,,,,,,,,2,16,52,12,,,,,,,,,main,2,2,2,neutral,negative,j,j,1,0.8973979000002146,267.0960112999892,268.1065099000698,268.0897315000184,None,267.0960112999892,None,267.0960112999892,None,267.0960112999892,None,268.98963947001613,None,268.98963947001613,None,268.98963947001613,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,neutral,2,k,k,,,,,,,,,2,17,53,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.8329280000180006,268.99511820008047,270.00636350002605,269.9896785999881,None,268.99511820008047,None,268.99511820008047,None,268.99511820008047,None,270.82294306998375,None,270.82294306998375,None,270.82294306998375,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,positive,2,l,j,,,,,,,,,3,0,54,11,,,,,,,,,main,2,2,2,positive,positive,l,l,1,0.8138482000213116,270.8294636000646,271.8397007000167,271.82297490001656,None,270.8294636000646,None,270.8294636000646,None,270.8294636000646,None,272.6395646700519,None,272.6395646700519,None,272.6395646700519,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,negative,2,j,l,,,,,,,,,3,1,55,9,,,,,,,,,main,1,1,2,negative,negative,j,j,1,0.9150265000062063,272.6449727000436,273.6562923999736,273.63964150007814,None,272.6449727000436,None,272.6449727000436,None,272.6449727000436,None,274.55622417003616,None,274.55622417003616,None,274.55622417003616,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,neutral,2,k,k,,,,,,,,,3,2,56,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.8150299000553787,274.5621396000497,275.5729540999746,275.5562647000188,None,274.5621396000497,None,274.5621396000497,None,274.5621396000497,None,276.3728501700214,None,276.3728501700214,None,276.3728501700214,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,neutral,2,l,j,,,,,,,,,3,3,57,17,,,,,,,,,main,1,1,2,neutral,positive,l,l,1,0.7988339000148699,276.37850350001827,277.38954260002356,277.3728744999971,None,276.37850350001827,None,276.37850350001827,None,276.37850350001827,None,278.17283037003364,None,278.17283037003364,None,278.17283037003364,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,neutral,1,k,k,,,,,,,,,3,4,58,1,,,,,,,,,main,1,1,1,neutral,neutral,k,k,1,0.7477297000586987,278.1763957000803,279.18952130002435,279.1728535000002,None,278.1763957000803,None,278.1763957000803,None,278.1763957000803,None,279.9227468699799,None,279.9227468699799,None,279.9227468699799,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,negative,1,l,j,,,,,,,,,3,5,59,5,,,,,,,,,main,2,2,1,negative,positive,l,l,1,1.1153282000450417,279.9394950000569,280.939483400085,280.90622240002267,None,279.9394950000569,None,279.9394950000569,None,279.9394950000569,None,282.0393737700186,None,282.0393737700186,None,282.0393737700186,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,neutral,1,j,l,,,,,,,,,3,6,60,3,,,,,,,,,main,1,1,1,neutral,negative,j,j,1,0.915045699919574,282.0427148999879,283.0560947000049,283.03940420004074,None,282.0427148999879,None,282.0427148999879,None,282.0427148999879,None,283.95600577002625,None,283.95600577002625,None,283.95600577002625,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,positive,1,k,k,,,,,,,,,3,7,61,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.7649763999506831,283.96171280008275,284.9727139000315,284.95604489999823,None,283.96171280008275,None,283.96171280008275,None,283.96171280008275,None,285.7226438700571,None,285.7226438700571,None,285.7226438700571,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
