target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,neutral,2,l,j,,,,,,,,,5,17,107,17,,,,,,,,,main,2,2,2,neutral,positive,j,j,1,0.6649157999781892,383.8156997000333,384.83114010002464,384.8145431000157,None,383.8156997000333,None,383.8156997000333,None,383.8156997000333,None,385.478805910045,None,385.478805910045,None,385.478805910045,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,negative,2,k,k,,,,,,,,,6,0,108,16,,,,,,,,,main,1,1,2,negative,neutral,k,k,1,0.6309592999750748,385.49777840002207,386.4978898000554,386.481242800015,None,385.49777840002207,None,385.49777840002207,None,385.49777840002207,None,387.1121173100022,None,387.1121173100022,None,387.1121173100022,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,negative,2,l,j,,,,,,,,,6,1,109,14,,,,,,,,,main,1,1,2,negative,positive,j,j,1,0.681297299975995,387.11544360005064,388.1284824000322,388.1118150000111,None,387.11544360005064,None,387.11544360005064,None,387.11544360005064,None,388.7950639100221,None,388.7950639100221,None,388.7950639100221,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,neutral,2,k,k,,,,,,,,,6,2,110,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.6352934000315145,388.7951477000024,389.7951563000097,389.7951563000097,None,388.7951477000024,None,388.7951477000024,None,388.7951477000024,None,390.4309361100371,None,390.4309361100371,None,390.4309361100371,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,positive,2,j,l,,,,,,,,,6,3,111,15,,,,,,,,,main,1,1,2,positive,negative,l,l,1,0.6950228000059724,390.43503400002373,391.44545980001567,391.43109740002546,None,390.43503400002373,None,390.43503400002373,None,390.43503400002373,None,392.1286957100441,None,392.1286957100441,None,392.1286957100441,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,neutral,1,j,l,,,,,,,,,6,4,112,3,,,,,,,,,main,2,2,1,neutral,negative,l,l,1,0.7817583999712951,392.13489800004754,393.14774560002843,393.1310718000168,None,392.13489800004754,None,392.13489800004754,None,392.13489800004754,None,393.9119519100117,None,393.9119519100117,None,393.9119519100117,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,positive,2,k,k,,,,,,,,,6,5,113,13,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.7159399000229314,393.91554310003994,394.9309159000404,394.9142658000346,None,393.91554310003994,None,393.91554310003994,None,393.91554310003994,None,395.62860161002607,None,395.62860161002607,None,395.62860161002607,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,negative,2,j,l,,,,,,,,,6,6,114,9,,,,,,,,,main,1,1,2,negative,negative,l,l,1,0.766014399996493,395.6400367000024,396.64751660003094,396.63097960001323,None,395.6400367000024,None,395.6400367000024,None,395.6400367000024,None,397.39745811001046,None,397.39745811001046,None,397.39745811001046,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,negative,1,j,l,,,,,,,,,6,7,115,0,,,,,,,,,main,2,2,1,negative,negative,l,l,1,0.9793343000346795,397.40048390004085,398.41161380003905,398.39494920003926,None,397.40048390004085,None,397.40048390004085,None,397.40048390004085,None,399.37818511005605,None,399.37818511005605,None,399.37818511005605,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,negative,1,l,j,,,,,,,,,6,8,116,5,,,,,,,,,main,1,1,1,negative,positive,j,j,1,0.8481781000155024,399.3782628000481,400.3782768000383,400.3782768000383,None,399.3782628000481,None,399.3782628000481,None,399.3782628000481,None,401.22821130999944,None,401.22821130999944,None,401.22821130999944,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
