target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
neutral,positive,2,k,k,,,,,,,,,2,2,38,13,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.9265564999950584,264.9501814999967,266.02042939999956,265.9717857000069,None,264.9501814999967,None,264.9501814999967,None,264.9501814999967,None,266.8434610299941,None,266.8434610299941,None,266.8434610299941,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,1,k,k,,,,,,,,,2,3,39,1,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,neutral,k,k,1,0.8173166999768,266.91223839999293,267.9894564000133,267.8933599999873,None,266.91223839999293,None,266.91223839999293,None,266.91223839999293,None,268.6740519299987,None,268.6740519299987,None,268.6740519299987,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,2,j,l,,,,,,,,,2,4,40,9,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,negative,j,j,1,0.8938668000046164,268.7275640000007,269.79687980000745,269.70782280000276,None,268.7275640000007,None,268.7275640000007,None,268.7275640000007,None,270.57574542999504,None,270.57574542999504,None,270.57574542999504,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,1,l,j,,,,,,,,,2,5,41,8,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,positive,l,l,1,0.8511819000123069,270.64780810000957,271.7202416000073,271.6725404000026,None,270.64780810000957,None,270.64780810000957,None,270.64780810000957,None,272.4342174199934,None,272.4342174199934,None,272.4342174199934,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,2,k,k,,,,,,,,,2,6,42,16,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,neutral,k,k,1,0.8436952999909408,272.48023270000704,273.56276349999825,273.5084535999922,None,272.48023270000704,None,272.48023270000704,None,272.48023270000704,None,274.2896854199877,None,274.2896854199877,None,274.2896854199877,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,positive,1,j,l,,,,,,,,,2,7,43,6,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,j,j,1,0.8622425999783445,274.32391249999637,275.36949029998505,275.36949029998505,None,274.32391249999637,None,274.32391249999637,None,274.32391249999637,None,276.14436861000723,None,276.14436861000723,None,276.14436861000723,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,positive,1,k,k,,,,,,,,,2,8,44,4,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,neutral,k,k,1,0.7442823000019416,276.1846680000017,277.25770290000946,277.21103310000035,None,276.1846680000017,None,276.1846680000017,None,276.1846680000017,None,277.89432770998684,None,277.89432770998684,None,277.89432770998684,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,1,j,l,,,,,,,,,2,9,45,0,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.8780715000175405,277.9266376000014,278.9654969999974,278.9654969999974,None,277.9266376000014,None,277.9266376000014,None,277.9266376000014,None,279.7901123200078,None,279.7901123200078,None,279.7901123200078,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,2,l,j,,,,,,,,,2,10,46,11,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,positive,l,l,1,0.8062367999809794,279.8260971000127,280.88435360000585,280.8355416000122,None,279.8260971000127,None,279.8260971000127,None,279.8260971000127,None,281.60045901999695,None,281.60045901999695,None,281.60045901999695,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,neutral,2,k,k,,,,,,,,,2,11,47,10,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,k,k,1,0.7601291000028141,281.63262270000996,282.68965509999543,282.6414645999903,None,281.63262270000996,None,281.63262270000996,None,281.63262270000996,None,283.3711577300041,None,283.3711577300041,None,283.3711577300041,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
