target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,negative,2,j,l,,,,,,,,,2,5,41,9,,,,,,,,,main,1,1,2,negative,negative,l,l,1,0.9313191000037477,289.28320410000015,290.2987818000038,290.27985790000093,None,289.28320410000015,None,289.28320410000015,None,289.28320410000015,None,291.2126906600024,None,291.2126906600024,None,291.2126906600024,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
positive,negative,1,l,j,,,,,,,,,2,6,42,5,,,,,,,,,main,2,2,1,negative,positive,j,j,1,0.9818225999988499,291.2127873999998,292.2127642999985,292.2127642999985,None,291.2127873999998,None,291.2127873999998,None,291.2127873999998,None,293.19605125999806,None,293.19605125999806,None,293.19605125999806,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
positive,negative,2,l,j,,,,,,,,,2,7,43,14,,,,,,,,,main,2,2,2,negative,positive,j,j,1,0.7154637000057846,293.1997879999981,294.21536090000154,294.1964492000043,None,293.1997879999981,None,293.1997879999981,None,293.1997879999981,None,294.9130904600024,None,294.9130904600024,None,294.9130904600024,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
positive,neutral,2,l,j,,,,,,,,,2,8,44,17,,,,,,,,,main,2,2,2,neutral,positive,j,j,1,0.6994106999991345,294.9192922000002,295.931943100004,295.91543459999957,None,294.9192922000002,None,294.9192922000002,None,294.9192922000002,None,296.6139999599982,None,296.6139999599982,None,296.6139999599982,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
negative,neutral,2,j,l,,,,,,,,,2,9,45,12,,,,,,,,,main,2,2,2,neutral,negative,l,l,1,1.1142662999991444,296.6197972000009,297.62972920000175,297.61333820000436,None,296.6197972000009,None,296.6197972000009,None,296.6197972000009,None,298.7295825600013,None,298.7295825600013,None,298.7295825600013,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
negative,positive,1,j,l,,,,,,,,,2,10,46,6,,,,,,,,,main,2,2,1,positive,negative,l,l,1,1.0019169000006514,298.7336275999987,299.7485342,299.7296731000024,None,298.7336275999987,None,298.7336275999987,None,298.7336275999987,None,300.7291700600035,None,300.7291700600035,None,300.7291700600035,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,positive,2,k,k,,,,,,,,,2,11,47,13,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.593273999998928,300.736602500001,301.7459041000038,301.7292565000025,None,300.736602500001,None,300.736602500001,None,300.736602500001,None,302.3291686599987,None,302.3291686599987,None,302.3291686599987,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
positive,positive,1,l,j,,,,,,,,,2,12,48,2,,,,,,,,,main,2,2,1,positive,positive,j,j,1,0.8318742999981623,302.3295644000027,303.3292438999997,303.3292438999997,None,302.3295644000027,None,302.3295644000027,None,302.3295644000027,None,304.1624961600028,None,304.1624961600028,None,304.1624961600028,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
positive,neutral,1,l,j,,,,,,,,,2,13,49,8,,,,,,,,,main,2,2,1,neutral,positive,j,j,1,0.6023513999971328,304.16586510000343,305.1652721999999,305.1652721999999,None,304.16586510000343,None,304.16586510000343,None,304.16586510000343,None,305.76521435999894,None,305.76521435999894,None,305.76521435999894,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,neutral,1,k,k,,,,,,,,,2,14,50,1,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,0.7294455000010203,305.7694715000034,306.7817993999997,306.7652124000015,None,305.7694715000034,None,305.7694715000034,None,305.7694715000034,None,307.4960838600018,None,307.4960838600018,None,307.4960838600018,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,negative,2,k,k,,,,,,,,,2,15,51,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.6307115000017802,307.5004803000047,308.5150447000051,308.49616160000005,None,307.5004803000047,None,307.5004803000047,None,307.5004803000047,None,309.1294636599996,None,309.1294636599996,None,309.1294636599996,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,neutral,2,k,k,,,,,,,,,2,16,52,10,,,,,,,,,main,1,1,2,neutral,neutral,k,k,1,0.5982709000018076,309.13279290000355,310.1483853000027,310.1316919000019,None,309.13279290000355,None,309.13279290000355,None,309.13279290000355,None,310.72935846000473,None,310.72935846000473,None,310.72935846000473,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
negative,positive,2,j,l,,,,,,,,,2,17,53,15,,,,,,,,,main,1,1,2,positive,negative,l,l,1,0.6815666000038618,310.73287300000084,311.74571039999864,311.72905639999954,None,310.73287300000084,None,310.73287300000084,None,310.73287300000084,None,312.4122726600035,None,312.4122726600035,None,312.4122726600035,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
negative,negative,1,j,l,,,,,,,,,3,0,54,0,,,,,,,,,main,1,1,1,negative,negative,l,l,1,0.7148776999965776,312.41353040000104,313.42905990000145,313.41240370000014,None,312.41353040000104,None,312.41353040000104,None,312.41353040000104,None,314.129413460003,None,314.129413460003,None,314.129413460003,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
positive,neutral,1,l,j,,,,,,,,,3,1,55,8,,,,,,,,,main,1,1,1,neutral,positive,j,j,1,0.6647259000019403,314.1334526999999,315.1482032999993,315.1293545000008,None,314.1334526999999,None,314.1334526999999,None,314.1334526999999,None,315.7959080600049,None,315.7959080600049,None,315.7959080600049,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
negative,negative,2,j,l,,,,,,,,,3,2,56,9,,,,,,,,,main,1,1,2,negative,negative,l,j,0,0.6009607000014512,315.79920349999884,316.81484150000324,316.7983514000007,None,315.79920349999884,None,315.79920349999884,None,315.79920349999884,None,317.3959937000036,None,317.3959937000036,None,317.3959937000036,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
negative,positive,2,j,l,,,,,,,,,3,3,57,15,,,,,,,,,main,2,2,2,positive,negative,l,l,1,0.6704750999997486,318.39657309999893,319.3959443999993,319.3815423999986,None,318.39657309999893,None,318.39657309999893,None,318.39657309999893,None,320.0647612600005,None,320.0647612600005,None,320.0647612600005,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
positive,negative,1,l,j,,,,,,,,,3,4,58,5,,,,,,,,,main,2,2,1,negative,positive,j,l,0,0.5279924999995274,320.06944600000134,321.0788799000002,321.0622174000018,None,320.06944600000134,None,320.06944600000134,None,320.06944600000134,None,321.5955460000041,None,321.5955460000041,None,321.5955460000041,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
positive,positive,1,l,j,,,,,,,,,3,5,59,2,,,,,,,,,main,1,1,1,positive,positive,j,j,1,1.2533815000060713,322.595527700003,323.59583360000397,323.579187299998,None,322.595527700003,None,322.595527700003,None,322.595527700003,None,324.84580326000287,None,324.84580326000287,None,324.84580326000287,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,neutral,1,k,k,,,,,,,,,3,6,60,1,,,,,,,,,main,1,1,1,neutral,neutral,k,k,1,0.7336042000024463,324.8497134999998,325.86499170000025,325.84806180000305,None,324.8497134999998,None,324.8497134999998,None,324.8497134999998,None,326.5814632600013,None,326.5814632600013,None,326.5814632600013,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,neutral,2,k,k,,,,,,,,,3,7,61,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.5624981000000844,326.58479230000376,327.59577340000396,327.58140229999844,None,326.58479230000376,None,326.58479230000376,None,326.58479230000376,None,328.14537435999955,None,328.14537435999955,None,328.14537435999955,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
